soundscape_path,soundscape_file,template_path,template_file,template_name,template_min_freq,template_max_freq,template_start,template_end,detection_start,detection_end,detection_wl,detection_ovlp,detection_sample_rate,detection_buffer,detection_min_score,detection_min_quant,detection_top_n,peak_index,peak_score,peak_quant
"./soundscapes/W54393S25597_20201104_170000.wav","W54393S25597_20201104_170000.wav","./templates/Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav",2.975,9.554,0,0.400958333333333,0.922401665598975,1.28111342444302,1024,70,24000,28,NA,NA,NA,87,0.337639567063955,0.83
"./soundscapes/W54393S25597_20201104_170000.wav","W54393S25597_20201104_170000.wav","./templates/Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav",2.975,9.554,0,0.400958333333333,1.55014724357606,1.9088590024201,1024,70,24000,28,NA,NA,NA,136,0.359332990985353,0.946
"./soundscapes/W54393S25597_20201104_170000.wav","W54393S25597_20201104_170000.wav","./templates/Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav",2.975,9.554,0,0.400958333333333,2.10102601608655,2.4597377749306,1024,70,24000,28,NA,NA,NA,179,0.356106213035522,0.935
"./soundscapes/W54393S25597_20201104_170000.wav","W54393S25597_20201104_170000.wav","./templates/Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav",2.975,9.554,0,0.400958333333333,2.7159604598192,3.07467221866325,1024,70,24000,28,NA,NA,NA,227,0.335486379956476,0.814
"./soundscapes/W54393S25597_20201104_170000.wav","W54393S25597_20201104_170000.wav","./templates/Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav",2.975,9.554,0,0.400958333333333,3.36932830628515,3.72804006512919,1024,70,24000,28,NA,NA,NA,278,0.311071069980013,0.588
"./soundscapes/W54393S25597_20201104_170000.wav","W54393S25597_20201104_170000.wav","./templates/Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav",2.975,9.554,0,0.400958333333333,3.76647346786248,4.12518522670653,1024,70,24000,28,NA,NA,NA,309,0.321945653656907,0.693
"./soundscapes/W54393S25597_20201104_170000.wav","W54393S25597_20201104_170000.wav","./templates/Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav",2.975,9.554,0,0.400958333333333,4.47108585130614,4.82979761015019,1024,70,24000,28,NA,NA,NA,364,0.341517329437648,0.854
"./soundscapes/W54393S25597_20201104_170000.wav","W54393S25597_20201104_170000.wav","./templates/Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav",2.975,9.554,0,0.400958333333333,4.94509781835006,5.30380957719411,1024,70,24000,28,NA,NA,NA,401,0.353461058303904,0.924
"./soundscapes/W54393S25597_20201104_170000.wav","W54393S25597_20201104_170000.wav","./templates/Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav",2.975,9.554,0,0.400958333333333,5.598465664816,5.95717742366005,1024,70,24000,28,NA,NA,NA,452,0.342687360958777,0.861
"./soundscapes/W54393S25597_20201104_170000.wav","W54393S25597_20201104_170000.wav","./templates/Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav",2.975,9.554,0,0.400958333333333,6.71303434408143,7.07174610292548,1024,70,24000,28,NA,NA,NA,539,0.333914517898641,0.801
"./soundscapes/W54393S25597_20201104_170000.wav","W54393S25597_20201104_170000.wav","./templates/Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav",2.975,9.554,0,0.400958333333333,7.23829084810307,7.59700260694711,1024,70,24000,28,NA,NA,NA,580,0.361170838993945,0.952
"./soundscapes/W54393S25597_20201104_170000.wav","W54393S25597_20201104_170000.wav","./templates/Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav",2.975,9.554,0,0.400958333333333,8.44253746707951,8.80124922592355,1024,70,24000,28,NA,NA,NA,674,0.314646486928031,0.625
"./soundscapes/W54393S25597_20201104_170000.wav","W54393S25597_20201104_170000.wav","./templates/Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav",2.975,9.554,0,0.400958333333333,9.00622737383444,9.36493913267848,1024,70,24000,28,NA,NA,NA,718,0.32809001887022,0.75
"./soundscapes/W54393S25597_20201104_170000.wav","W54393S25597_20201104_170000.wav","./templates/Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav",2.975,9.554,0,0.400958333333333,9.64678408605595,10.0054958449,1024,70,24000,28,NA,NA,NA,768,0.328645176434904,0.755
"./soundscapes/W54393S25597_20201104_170000.wav","W54393S25597_20201104_170000.wav","./templates/Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav",2.975,9.554,0,0.400958333333333,10.4795078119439,10.838219570788,1024,70,24000,28,NA,NA,NA,833,0.334408283662013,0.806
"./soundscapes/W54393S25597_20201104_170000.wav","W54393S25597_20201104_170000.wav","./templates/Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav",2.975,9.554,0,0.400958333333333,11.6709432966759,12.02965505552,1024,70,24000,28,NA,NA,NA,926,0.313968426052391,0.616
"./soundscapes/W54393S25597_20201104_170000.wav","W54393S25597_20201104_170000.wav","./templates/Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav",2.975,9.554,0,0.400958333333333,12.5164781568083,12.8751899156524,1024,70,24000,28,NA,NA,NA,992,0.299451561245837,0.455
"./soundscapes/W54393S25597_20201104_170000.wav","W54393S25597_20201104_170000.wav","./templates/Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav",2.975,9.554,0,0.400958333333333,13.5541800306072,13.9128917894512,1024,70,24000,28,NA,NA,NA,1073,0.311601468354962,0.593
"./soundscapes/W54393S25597_20201104_170000.wav","W54393S25597_20201104_170000.wav","./templates/Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav",2.975,9.554,0,0.400958333333333,14.0922476688732,14.4509594277173,1024,70,24000,28,NA,NA,NA,1115,0.32864211743925,0.755
"./soundscapes/W54393S25597_20201104_170000.wav","W54393S25597_20201104_170000.wav","./templates/Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav",2.975,9.554,0,0.400958333333333,14.9121602605168,15.2708720193608,1024,70,24000,28,NA,NA,NA,1179,0.323789190334082,0.709
"./soundscapes/W54393S25597_20201104_170000.wav","W54393S25597_20201104_170000.wav","./templates/Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav",2.975,9.554,0,0.400958333333333,15.5399058384938,15.8986175973379,1024,70,24000,28,NA,NA,NA,1228,0.314339964094033,0.621
"./soundscapes/W54393S25597_20201104_170000.wav","W54393S25597_20201104_170000.wav","./templates/Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav","Bcu_2_014.393-014.794s_02.975-09.554kHz_1024wl_70ovlp_Basileuterus culicivorus.wav",2.975,9.554,0,0.400958333333333,16.3341961616485,16.6929079204926,1024,70,24000,28,NA,NA,NA,1290,0.316023762976756,0.639
